DICTION              6     202212 Reports                         3000000600001 
            ===Note= The following series which usually contain   3000000600002 
            conference proceedings, are generally not considered  3000000600003 
            as reports. Therefore, such publications are usually  3000000600004 
            entered with a conference code (see dict. 7).         3000000600005 
                 CEA-CONF                                         3000000600006 
            (Fisica di Bassa Energia)                             3000000600389 
CNEN-RT/FI-Com.Naz. per l'Energia Nucleare Reports         2ITYITY3000000600390X
ENEA/RT/IN-E.N.E.A., Area Innovazione Reports              2ITYITY3000000600391 
            ===Note: complete code is ENEA/RT/INN-                3000000600392 
ENEA/RT/NU-E.N.E.A., Area Nucleare Reports                 2ITYITY3000000600393 
            ==Note: complete code is ENEA/RT/NUCL-                3000000600394 
INFN/TC-   INFN Reports / Various Techniques Series        2ITYITY3000000600395 
            (Tecniche varie)                                      3000000600396 
RT/FI-     Comitate Nazionale per l'En. Nuc. Fiz. Reports  2ITYITY3000000600397X
RT/FIMA-   Comitate Nazionale per l'En.Nuc.Fiz.Mat.Repts.  2ITYITY3000000600398X
TIB/FICS-  ENEA Dpmt. TIB / FICS Reports                   2ITYITY3000000600399 
            ENEA Dipmt. Tecnologie Intersettorali di Base /       3000000600400 
            Div. Fisica e Calcolo Scientifico Reports             3000000600401 
            Code on cover: e.g. TIB/FICS (83) 4                   3000000600402 
A-LNS-     INFN Southern National Lab.(LNS), activity rept.2ITYLNS3000000600403 
A-PAD-     Padua Univ. and Lab. Naz. Legnaro annual report 2ITYPAD3000000600404 
A-JCL-     RIKEN Accelerator Progress Report               2JPNIPC3000000600405 
            Inst.of Phys.and Chem.Res., Wako-shi,Saitama          3000000600406 
           =vol.1 (1967) -                                        3000000600407 
RIKEN-NC-NPRIKEN Nishina Center: Nuclear Physics preprint  2JPNIPC3000000600408 
HIMAC-     Nat.Inst.of Radiological Sciences, HIMAC Reports2JPNIRS3000000600409 
JAEA-C-    JAEA Conference proceedings                     2JPNJAE3000000600410 
            Complete code is JAEA-Conf-                           3000000600411 
JAEA-R-    JAEA Research Reports                           2JPNJAE3000000600412 
            Complete code is JAEA-Research-                       3000000600413 
JAERI-     JAERI Reports                                   2JPNJAE3000000600414X
            Extinct. Last issue: JAERI-1348                       3000000600415X
JAERI-C-   JAERI Conference proceedings                    2JPNJAE3000000600416X
            Complete code is JAERI-Conf-                          3000000600417X
            Extinct. Last issue: JAERI-Conf-2005-12               3000000600418X
JAERI-D-   JAERI Data collection / Computer code reports   2JPNJAE3000000600419X
            Complete code is JAERI-Data/Code                      3000000600420X
            Extinct. Last issue: JAERI-Data/Code-2005-10          3000000600421X
JAERI-M-   JAERI-M Reports                                 2JPNJAE3000000600422X
            Extinct in 1994, continued as -C, -D, -R              3000000600423X
            Last issue: JAERI-M-94-082                            3000000600424X
JAERI-MEMO-JAERI-Memo Reports                              2JPNJAE3000000600425X
            In 1972 split into JAERI memo (unpublished) and       3000000600426X
            JAERI-M (published)                                   3000000600427X
            Extinct. Last issue: JAERI-MEMO-14-006                3000000600428X
JAERI-R-   JAERI Research Reports                          2JPNJAE3000000600429X
            Complete code is JAERI-Research                       3000000600430X
            Extinct. Last issue: JAERI-Research-2005-30           3000000600431X
KURRI-     Kyoto Univ.,Res.Reactor Inst., Reports          2JPNKTO3000000600432 
KURRI-AR-  Kyoto Univ.,Res.Reactor Inst., Annual Report    2JPNKTO3000000600433 
KURRI-TR-  Kyoto-Univ.,Res.Reactor Inst., Tech. Report     2JPNKTO3000000600434 
            In Japanese with English abstracts                    3000000600435 
A-RCNP-    Res. Centre for Nucl. Phys., Osaka, annual rept.2JPNOSA3000000600436 
OKTAV-A-   Osaka Univ., OKTAVIAN Reports                   2JPNOSA3000000600437 
            Original papers and data tables                       3000000600438 
OKTAV-C-   Osaka Univ., OKTAVIAN Reports                   2JPNOSA3000000600439 
            Files of publications by other organizations          3000000600440 
NETU-      Tohoku Univ., Dept.of Nucl.Engineering Reports  2JPNTOH3000000600441X
A-INS-     Univ.Tokyo,Inst.f.Nucl.Study, Annual Report     2JPNTOK3000000600442X
INS-J-     Univ.Tokyo, Inst.for Nucl.Study, Reports        2JPNTOK3000000600443X
            Extinct March 1997 due to close of inst.              3000000600444X
            Last issue: INS-J-186                                 3000000600445X
UTTAC-     Tandem Accel. Complex Univ. Tsukuba Ann.Reports 2JPNTSU3000000600446 
ECN-       Energy Research Foundation,Petten Reports       2NEDRCN3000000600447 
ECN-C-     Energy Research Foundation,Petten Reports       2NEDRCN3000000600448 
ECN-R-     Energy Research Foundation,Petten Reports       2NEDRCN3000000600449 
ECN-RX-    Energy Research Foundation,Petten Reports       2NEDRCN3000000600450 
RCN-       Reactor Cent. Nederland, Petten Reports         2NEDRCN3000000600451 
BUP-       Bergen Univ. Dept. of Physics Reports           2NORBGN3000000600452 
JENER-     Joint Establ. Nucl. Res., Kjeller Reports       2NORKJL3000000600453X
KR-        Inst. for Atomenergi, Kjeller Reports           2NORKJL3000000600454 
ABO-ANN-   Abo Akademi Annual Reports                      2SF ABA3000000600455 
JU-RR-     Univ. of Jyvaeskylae, Dept.of Physics Reports   2SF JYV3000000600456 
SFL-A-     Sateilyfysiikan Laitos-Radiofys. Inst. Reports  2SF SF 3000000600457 
            (Inst. of Radiation Physics), Helsinki                3000000600458 
JEN-       Junta de Energia Nuclear Reports                2SPNJNE3000000600459 
MF-        Junta Energia Nuclear, Madrid Reports           2SPNJNE3000000600460 
AE-        Aktiebolaget Atomenergi,Stockholm/Studsvik Repts2SWDAE 3000000600461 
            Series discontinued. Last report = AE-517.            3000000600462 
AE-FFN-    Aktiebolaget Atomenergi, Stockholm Reports      2SWDAE 3000000600463 
AE-FN-     Aktiebolaget Atomenergi, Stockholm,internal rpt.2SWDAE 3000000600464 
AE-RFT-    Aktiebolaget Atomenergi, Stockholm/Studsvik rpt.2SWDAE 3000000600465 
AES-       Aktiebolaget Atomenergi, Studsvik, Reports      2SWDAE 3000000600466 
RFA-       Aktiebolaget Atomenergi, Stockholm Reports      2SWDAE 3000000600467 
RFR-       Aktiebolaget Atomenergi, Stockholm Reports      2SWDAE 3000000600468 
S-         Aktiebolaget Atomenergi, Stockholm, prog. rept. 2SWDAE 3000000600469 
CTH-RF-    Chalmers Univ. of Technol., Gothenburg Reports  2SWDCTH3000000600470 
FOA4-      Res. Inst. National Defence Dept. 4 reports     2SWDFOA3000000600471 
FOA4-A-    Res. Inst. National Defence Dept. 4A Reports    2SWDFOA3000000600472 
FOA4-C-    Res. Inst. National Defence Dept. 4C Reports    2SWDFOA3000000600473 
FOA4-D-    Res. Inst. National Defence Dept. 4D Reports    2SWDFOA3000000600474 
A-IPS-     Res. Inst. of Phys., Stockholm Annual Rept.     2SWDIPS3000000600475 
LU-NP-     Lund Univ. Reports                              2SWDLND3000000600476 
LUNF-D6-   Lund Univ., Nuclear Physics Series              2SWDLND3000000600477 
KDK-       Swedish Nuclear Data Committee Reports          2SWDSWD3000000600478 
LFF-       Swedish Reports                                 2SWDSWD3000000600479 
NFL-       Studsvik Science Res. Lab. Reports              2SWDSWR3000000600480 
STUDSVIK-  Studsvik Science Res. Lab. Reports              2SWDSWR3000000600481 
TLU-       Uppsala Univ. Tandem Lab. Reports               2SWDTLU3000000600482 
UPP-       Uppsala Univ. Annual Report                     2SWDUPP3000000600483 
UU-NF-     Uppsala Univ., Neutron Physics Lab. Reports     2SWDUPP3000000600484 
IPF-SP-    Inst.de Phys., U. de Fribourg, Physics Series   2SWTFRS3000000600485 
EIR-       Eidg.Inst.Reaktorforsch.Wuerenlingen Reports    2SWTWUR3000000600486 
CNAEM-     Cekmece Nuclear Res. and Training Centre Reports2TUKCNA3000000600487 
ACO/UK-    Aldermaston Reports                             2UK ALD3000000600488 
AKO-UK-    Aldermaston Internal Report                     2UK ALD3000000600489 
AWRE-      A.W.R.E. Aldermaston report series              2UK ALD3000000600490 
AWRE-CNR/PRA.W.R.E. Aldermaston Reports                    2UK ALD3000000600491 
AWRE-NR/C- A.W.R.E. Aldermaston Reports                    2UK ALD3000000600492 
AWRE-NR/P- A.W.R.E. Aldermaston Reports                    2UK ALD3000000600493 
AWRE-O-    A.W.R.E. Aldermaston Reports                    2UK ALD3000000600494 
NR/P-      U.K.AEA Weapons Group,A.W.R.E. Aldermaston Rept.2UK ALD3000000600495 
BR-        Cavendish Lab. Reports                          2UK CAV3000000600496X
            Early reports                                         3000000600497X
RD/B/M-    Central Electricity Generating Board Reports    2UK CEG3000000600498 
            ===Note: Complete code is CEGB-RD/B/M-                3000000600499 
RD/B/N-    Central Electricity Generating Board Reports    2UK CEG3000000600500 
            ===Note: Complete code is CEGB-RD/B/M-                3000000600501 
AERE-      A.E.R.E. Harwell report series                  2UK HAR3000000600502 
AERE-C/R-  A.E.R.E. Harwell Reports                        2UK HAR3000000600503 
AERE-I/R-  A.E.R.E. Harwell Reports                        2UK HAR3000000600504 
AERE-M-    A.E.R.E. Harwell Reports                        2UK HAR3000000600505 
AERE-N/M-  A.E.R.E. Harwell Reports                        2UK HAR3000000600506 
AERE-N/R-  A.E.R.E. Harwell Reports                        2UK HAR3000000600507 
AERE-NP/GENA.E.R.E. Harwell Reports                        2UK HAR3000000600508 
AERE-NP/M- A.E.R.E. Harwell Reports                        2UK HAR3000000600509 
AERE-NP/R- A.E.R.E. Harwell Reports                        2UK HAR3000000600510 
AERE-PR/NP-A.E.R.E. Harwell Reports                        2UK HAR3000000600511 
AERE-R-    A.E.R.E. Harwell Reports                        2UK HAR3000000600512 
AERE-R/M-  A.E.R.E. Harwell Reports                        2UK HAR3000000600513 
AERE-R/R-  A.E.R.E. Harwell Reports                        2UK HAR3000000600514 
AERE-RP/R- A.E.R.E. Harwell Reports                        2UK HAR3000000600515 
AERE-TRANS-A.E.R.E. Harwell translations                   2UK HAR3000000600516 
AERE-X/PR- A.E.R.E. Harwell Reports                        2UK HAR3000000600517 
NRDC-      A.E.R.E. Harwell Reports                        2UK HAR3000000600518 
NRPB-      National Radiol. Prot. Board Reports            2UK NRP3000000600519 
NRPB-M-    National Radiol. Prot. Board Reports            2UK NRP3000000600520 
NRPB-R-    National Radiol. Prot. Board Reports            2UK NRP3000000600521 
AHSB(S)R-  U.K. AEA Health and Safety Branch Risley Reports2UK RIY3000000600522 
UKNDC-     Progress report from U.K. Nuclear Data Comm.    2UK UK 3000000600523 
UKNDC-P-   Progress report from U.K.N.D.C.                 2UK UK 3000000600524 
            Note: report appears as UKNDC(75)- .                  3000000600525 
AEA-TRS-   AEA Technol.Winfrith, Thermal Reactor Serv.,rpt.2UK WIN3000000600526 
AEEW-      A.E.E.W. Winfrith report series                 2UK WIN3000000600527 
AEEW-M-    A.E.E.W. Winfrith Reports                       2UK WIN3000000600528 
AEEW-R-    A.E.E.W. Winfrith Reports                       2UK WIN3000000600529 
CERN-      CERN Europ. Org. for Nuclear Res. Reports       2ZZZCER3000000600530 
CERN-PROC- CERN Proceedings (CERN-Proceedings-)            2ZZZCER3000000600531 
CERN/DI/HP-CERN Health Physics Group Reports               2ZZZCER3000000600532 
IRMM-      Inst. of Ref.Materials and Meas. Repts., Geel   2ZZZGEL3000000600533 
IRMM-R-    Inst. of Ref.Materials and Meas. Repts., Geel   2ZZZGEL3000000600534 
EUR-       Euratom Reports                                 2ZZZISP3000000600535 
CCDN-      C.C.D.N. Saclay report series                   2ZZZNDC3000000600536 
CCDN-CI-   C.C.D.N. Saclay Reports                         2ZZZNDC3000000600537 
CCDN-NW-   C.C.D.N. Saclay Newsletters                     2ZZZNDC3000000600538 
EANDC(CAN)-Canadian report to EANDC                        2ZZZNEA3000000600539X
EANDC(E)-  Report from Euratom-countries + Euratom to EANDC2ZZZNEA3000000600540X
EANDC(J)-  Japanese report to EANDC                        2ZZZNEA3000000600541X
EANDC(OR)- Report from misc. OECD Countries to EANDC       2ZZZNEA3000000600542X
EANDC(UK)- U.K. report to EANDC                            2ZZZNEA3000000600543X
EANDC(US)- U.S. report to EANDC                            2ZZZNEA3000000600544X
EANDC-     European-American Nucl. Data Committee Documents2ZZZNEA3000000600545X
           =(usually accompanied by an additional code,           3000000600546X
           =e.g. EANDC(CAN); continued 1974 as NEANDC-)           3000000600547X
NEA-NSC-   NEA Nuclear Science Committee Reports           2ZZZNEA3000000600548 
NEACRP-L-  NEA internal report NEANDC(E)-NEACRP-L          2ZZZNEA3000000600549 
NEANDC(CAN)Canadian report to NEANDC                       2ZZZNEA3000000600550 
NEANDC(E)- Report from CEC-Countries and CEC to NEANDC     2ZZZNEA3000000600551 
NEANDC(J)- Japanese report to NEANDC                       2ZZZNEA3000000600552 
NEANDC(OR)-Report from misc. OECD countries to NEANDC      2ZZZNEA3000000600553 
            NEANDC(OR)-140 is published three times by Spain,     3000000600554 
            Sweden, Switzerland with the same distribution code L.3000000600555 
NEANDC(UK)-U.K. report to NEANDC                           2ZZZNEA3000000600556 
NEANDC(US)-U.S. report to NEANDC                           2ZZZNEA3000000600557 
NEANDC-    Nucl. En. Agency Nucl. Data Committee reports   2ZZZNEA3000000600558 
           =(started 1974 as continuation of EANDC-)              3000000600559 
IC-        Internat.Centre for Theoretical Physics, reports2ZZZTPT3000000600560 
CNEA-      Comision Nacional de Energia Atomica report ser.3ARGCNE3000000600561 
CNEA-CAB-  Centro Atomico Bariloche, internal report       3ARGCNE3000000600562 
CNEA-CAB-ITCentro Atomico Bariloche, internal report       3ARGCNE3000000600563 
LR-        Inst. Investigacion Aeronautica y Esp, Reports  3ARGIIA3000000600564 
AAEC/      Australian AEC reports                          3AULAUA3000000600565 
AAEC/AP/PR-Australian AEC Applied Phys.Div. Prog. Report   3AULAUA3000000600566 
AAEC/E-    Australian AEC Reports                          3AULAUA3000000600567 
AAEC/PD/PR-Australian AEC Physics Div. Progress Report     3AULAUA3000000600568 
AAEC/PR-   Australian AEC Progress report                  3AULAUA3000000600569 
AAEC/TM-   Australian AEC Technical Memo                   3AULAUA3000000600570 
LIB/TRAN-  Australia Translation                           3AULAUL3000000600571 
LIB/TRANS- Australia Translation                           3AULAUL3000000600572 
ANU-       Australian National Univ., Canberra Reports     3AULCBR3000000600573 
ANU-P-     Australian National Univ., Canberra Reports     3AULCBR3000000600574 
AECD/      Atomic Energy Centre, Dhaka Reports             3BANRAM3000000600575 
AECD/EP-   Atomic Energy Centre, Dhaka Reports             3BANRAM3000000600576 
AECD/MISC- Atomic Energy Centre, Dhaka Progress Report     3BANRAM3000000600577 
AECD/TP-   Atomic Energy Centre, Dhaka Reports             3BANRAM3000000600578 
IEAV/NT-   Inst. de Estudos Avancados, Technical Note      3BZLCTA3000000600579 
IEA-       Inst. de Energia Atomica, Sao Paulo, Reports    3BZLIEA3000000600580 
IEA-INF-   Inst. de Energia Atomica, Sao Paulo, prog. rept.3BZLIEA3000000600581 
IPEN-      Inst.de Pesquisas Energ.e Nucl.,Sao Paulo,Repts 3BZLIPE3000000600582 
CCEN-      Comun.do Centro de Energia Nuclear,Recife,Repts.3BZLUFP3000000600583 
            Univ. Federal de Pernambuco                           3000000600584 
IFUSP/P-   Univ. of Sao Paulo, Inst.of Phys. Reports       3BZLUSP3000000600585 
INER-      Inst. of Nucl.Energy Research Reports           3CHFSHI3000000600586 
IAN-       Inst. de Asuntos Nucleares, Bogota, reports     3CLMIAN3000000600587 
IAN-E-     Inst. de Asuntos Nucleares, Bogota Reports      3CLMIAN3000000600588 
A-AEP-     Inst. of Atomic Energy, Beijing, Annual Report  3CPRAEP3000000600589 
A-BNT-     Beijing Nat. Tandem Accel. Lab., Prog. Report   3CPRAEP3000000600590 
            (one report every 2 years)                            3000000600591 
HSJ-       Inst. of Atomic Energy, Beijing Reports         3CPRAEP3000000600592 
CNIC-      China Nucl. Information Center Reports          3CPRCNI3000000600593 
NST-       Inst.of Nucl.Sci.and Technol.,Sichuan U. Reports3CPRSIU3000000600594 
LNS-       Inst. Rudjer Boskovic Reports                   3CRORBZ3000000600595 
IPPCZ-     Czechoslovak A.S. Plasma Physics Reports, Prague3CZRCZA3000000600596 
UJF-       Ustav Jad. Fyziky (Inst.Nucl.Phys.) Reports     3CZRUJF3000000600597 
            Note: The series UJV- and UJF- share the same         3000000600598 
             consecutive numbering such that the existence of     3000000600599 
             UJF-2899 excludes the existence of UJV-2899          3000000600600 
UJV-       Ustav Jad. Vyzkumu (Inst Nucl res), Reports     3CZRUJV3000000600601 
ZFK-DOS-   Zentralinst. f. Kernforschung Rossendorf Reports3DDRROS3000000600602X
            Last issue ZFK-DOS-5 7/66                             3000000600603X
ZFK-PHA-   Zentralinst. f. Kernforschung Rossendorf Reports3DDRROS3000000600604X
            Last issue ZFK-PHA-26 1/67                            3000000600605X
ZFK-RCH-   Zentralinst. f. Kernforschung Rossendorf Reports3DDRROS3000000600606X
            Last issue ZFK-RCH-3 D/65                             3000000600607X
ZFK-RN-    Zentralinst. f. Kernforschung Rossendorf Reports3DDRROS3000000600608X
            Last issue ZFK-RN-33 2/66                             3000000600609X
ZFK-TPH-   Zentralinst. f. Kernforschung Rossendorf Reports3DDRROS3000000600610X
            Last issue ZFK-TPH-23 3/66                            3000000600611X
ZFK-WF-    Zentralinst. f. Kernforschung Rossendorf Reports3DDRROS3000000600612X
            Last issue ZFK-WF-29 5/66                             3000000600613X
TU-        Technische Univ. Dresden, Reports               3DDRTUD3000000600614X
AREAEE-    Atomic Energy Establishment Reports             3EGYCAI3000000600615 
            Series started with nr.117 in 1971                    3000000600616 
UARAEE-    Atomic Energy Establishment Reports             3EGYCAI3000000600617X
            Last issue nr.116 (1971). Continued as AREAEE-        3000000600618X
ATOMKI-AR- Atomki Annual Reports                           3HUNDEB3000000600619 
           =(Code is invented for reference, report appears as    3000000600620 
           ='Atomki Annual report 1989')                          3000000600621 
KFKI-      Central Research Inst. of Physics Reports       3HUNKFI3000000600622 
            Hungarian Academy of Sciences                         3000000600623 
            ===Note: Subject codes appended to the report number  3000000600624 
               (e.g., KFKI-1989-02/G) may be omitted.             3000000600625 
               (KFKI-1989-02 is sufficient for unique reference). 3000000600626 
KFKI-YB-   KFKI Yearbook (progress-report)                 3HUNKFI3000000600627 
RRC-       Reactor Research Center Kalpakkam Reports       3INDKAL3000000600628 
AEET-      Atomic Energy Est. Trombay Reports              3INDTRM3000000600629X
            Last issue is AEET-275 (1967).                        3000000600630X
            Continued as BARC-                                    3000000600631X
AEET-ANAL- Trombay Reports                                 3INDTRM3000000600632X
AEET-NP-   Trombay Reports                                 3INDTRM3000000600633X
BARC-      B.A.R.C., Trombay report series                 3INDTRM3000000600634 
            Starts with BARC-276 (1967)                           3000000600635 
           =(formerly AEET- series)                               3000000600636 
BARC/I-    B.A.R.C., Trombay Reports                       3INDTRM3000000600637 
NRITB-     Nuclear Res. Inst., Tuwaitha, Baghdad, reports  3IRQNRI3000000600638 
NRITB-PH-  Nuclear Res. Inst., Tuwaitha, Baghdad, Reports  3IRQNRI3000000600639 
TNSD-P-    Technion Nuclear Science Dept. Reports          3ISLHFA3000000600640 
TNSD-R-    Technion Nuclear Science Dept. Reports          3ISLHFA3000000600641 
IA-        Israel AEC Reports                              3ISLISL3000000600642 
NRCN-      Beersheva Nuclear Res. Center Negev Reports     3ISLNEG3000000600643 
LS-        Soreq Nuclear Research Center Reports           3ISLSOR3000000600644 
KAERI/GP-  Korean Atomic Energy Research Inst. Reports     3KORKAE3000000600645 
AIF-                                                       3MEXIFM3000000600646O
            See journal-code AIF                                  3000000600647O
MOH-       Univ. Mohammed V, Rabat, Annual Report          3MORMOH3000000600648 
           =(the code MOH- was created for input and does         3000000600649 
           =not show up on the cover)                             3000000600650 
INS-       Inst.of Nuclear Sciences, Progress Reports      3NZLNZH3000000600651 
AEC(NZ)-   New Zealand A.E.C. Reports                      3NZLNZL3000000600652 
            The original code is 'AEC-' and (NZ) is added for     3000000600653 
             clarification                                        3000000600654 
NPD-                                                       3PAKNIL3000000600655O
            === see  PINST-NPD-                                   3000000600656O
PINST-     Pakistan Inst. Nucl. Sci. Tech. Reports         3PAKNIL3000000600657 
           = -  Note: original code is 'PINSTECH-'.               3000000600658 
PINST-NPD- Pakistan Inst.Nuc.Sci.Tech.,Nucl.Phys.Div.Repts 3PAKNIL3000000600659 
           = -  Note: original code is 'NPD-' only.               3000000600660 
PINST-RT-  Pakistan Inst. Nucl. Sci. Tech. Reports         3PAKNIL3000000600661 
           = -  Note: original Code is 'PINSTECH-RT-'.            3000000600662 
IBJ-                                                       3POLIBJ3000000600663O
            Had sometimes been used for INR-                      3000000600664O
INR-       Inst.Badan Jadr.(Nucl.Res.),Swierk+Warsaw,Repts 3POLIBJ3000000600665 
            Note: On the covers of this series one sometimes      3000000600666 
             finds INR-..., sometimes IBJ-..., but often a        3000000600667 
             report number without a report code.                 3000000600668 
            Some were indexed in NSA as PAN-(Pol.Ak.Nauk).        3000000600669 
            Characters behind report number should not be omitted.3000000600670 
             Example: INR-1461/I/PL/A  and  INR-1461/I/PL/B are tw3000000600671 
             different documents with no relation to each other.  3000000600672 
INR-FIA-   Inst. Badan Jadr., Swierk+Warsaw Reports        3POLIBJ3000000600673 
IFJ-                                                       3POLIFJ3000000600674O
            Use INP-                                              3000000600675O
INP-       Inst. Fiz. Jadr. (Nucl.Phys.), Krakow Reports   3POLIFJ3000000600676 
            Note: On the covers of this series one finds          3000000600677 
             sometimes INP-..., sometimes IFJ-..., but            3000000600678 
             often a report number without a report code.         3000000600679 
             Some were indexed in NSA as PAN-(Pol.Ak.Nauk).       3000000600680 
             Omit characters behind report number                 3000000600681 
             Example: INP-543 instead of INP-543/PL               3000000600682 
CLOR-      Biuro Pelnom. Rzadu do Spraw Wykorzyst. En. Jad.3POLPOL3000000600683 
PAN-       Polish Academy of Sciences Reports              3POLPOL3000000600684O
            Was used by NSA for INR- and INP-                     3000000600685O
IFA-       Inst. Fis. Atomica, Romanian Acad. Sci. reports 3RUMBUC3000000600686 
IFA-CRD-   Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600687 
IFA-DNBR-  Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600688 
IFA-DNR-   Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600689 
            Note: Sometimes the code IFA is not shown on the cover3000000600690 
IFA-EP-    Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600691 
            Note: Sometimes the code IFA is not shown on the cover3000000600692 
IFA-FN-    Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600693 
IFA-FR-    Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600694 
IFA-NF-    Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600695 
IFA-NR-    Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600696 
            Note: Codes of the form IFA-NR-33-1970 must be given  3000000600697 
               in Exfor as IFA-NR-33,(1970),...                   3000000600698 
IFA-R-     Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600699 
IFA-RN-    Inst. Fis. Atomica, Romanian Acad. Sci. Reports 3RUMBUC3000000600700 
IFIN-NR-   Inst. de Fiz. si Ing.Nucleara,Bucharest Reports 3RUMBUC3000000600701 
IRNE-      Inst. Nuclear Power Reactors Reports            3RUMPIT3000000600702 
PEL-       Atomic Energy Board, Pelindaba Reports          3SAFPEL3000000600703 
CSIR-FIS-  Council f.Scient.and Indust.Res.,Pretoria,Repts.3SAFSIR3000000600704 
SUNI-      Southern Universities Nuclear Inst. Reports     3SAFSUN3000000600705 
IJS-       Inst. Jozef Stefan, Ljubljana, reports          3SLNIJS3000000600706 
IJS-P-     Inst. Jozef Stefan, Ljubljana Reports           3SLNIJS3000000600707 
            Starting with IJS-P-245 6/69                          3000000600708 
IJS-R-     Inst. Jozef Stefan, Ljubljana Reports           3SLNIJS3000000600709 
            Starting with IJS-R-560 6/69                          3000000600710 
NIJS-      Inst. Josef Stefan, Ljubljana, report series    3SLNIJS3000000600711 
NIJS-P-    Inst. Josef Stefan, Ljubljana Reports           3SLNIJS3000000600712 
            Continued June 1969 as IJS-P-                         3000000600713 
NIJS-R-    Inst. Josef Stefan, Ljubljana Reports           3SLNIJS3000000600714 
            Continued June 1969 as IJS-R-                         3000000600715 
THAI-AEC-  Atomic Energy for Peace, Bangkok Reports        3TAIBAN3000000600716 
IBK-       Inst. Boris Kidrich Reports                     3YUGBKB3000000600717 
IAEA-      I.A.E.A. technical report, Vienna               3ZZZIAE3000000600718 
           =(starting with report no. 219, the full title         3000000600719 
           =of this series is now IAEA-TECDOC-)                   3000000600720 
IAEA-NDS-  Nuclear Data Services (Doc. series of NDS)      3ZZZIAE3000000600721 
IAEA-R-    I.A.E.A. Research Contract Report               3ZZZIAE3000000600722 
IAEA-SM-   I.A.E.A. Symposium Collection -extended synopses3ZZZIAE3000000600723 
IAEA-TECDOCI.A.E.A. Technical Documents                    3ZZZIAE3000000600724 
            previously coded as IAEA-                             3000000600725 
IAEA/      I.A.E.A., Vienna, report series                 3ZZZIAE3000000600726 
IAEA/RL-   I.A.E.A. Div. of Res. + Labs Reports            3ZZZIAE3000000600727 
IAEA/TA-   I.A.E.A. Technical Assistance Reports           3ZZZIAE3000000600728 
INDC(ARG)- Argentine report to the I.N.D.C.                3ZZZIAE3000000600729 
INDC(AUL)- Australian report to the I.N.D.C.               3ZZZIAE3000000600730 
INDC(AUS)- Austrian report to the I.N.D.C.                 3ZZZIAE3000000600731 
INDC(BAN)- Bangladesh report to the I.N.D.C.               3ZZZIAE3000000600732 
INDC(BLG)- Belgian report to the I.N.D.C.                  3ZZZIAE3000000600733 
INDC(BLR)- Belorus report to the I.N.D.C.                  3ZZZIAE3000000600734 
INDC(BOL)- Bolivian report to the I.N.D.C.                 3ZZZIAE3000000600735 
INDC(BUL)- Bulgarian report to the I.N.D.C.                3ZZZIAE3000000600736 
INDC(BZL)- Brazilian report to the I.N.D.C.                3ZZZIAE3000000600737 
INDC(CAN)- Canadian report to the I.N.D.C.                 3ZZZIAE3000000600738 
INDC(CCP)- USSR report to the I.N.D.C.                     3ZZZIAE3000000600739 
INDC(CHL)- Chile report to the I.N.D.C.                    3ZZZIAE3000000600740 
INDC(CPR)- Chinese report to the I.N.D.C.                  3ZZZIAE3000000600741 
INDC(CSR)- CSSR report to the I.N.D.C.                     3ZZZIAE3000000600742X
INDC(CUB)- Cuban report to the I.N.D.C.                    3ZZZIAE3000000600743 
INDC(CZR)- Czech report to the I.N.D.C.                    3ZZZIAE3000000600744 
INDC(EGY)- Egyptian report to the I.N.D.C.                 3ZZZIAE3000000600745 
INDC(EUR)- Comm. of the European Commun. report to I.N.D.C.3ZZZIAE3000000600746 
            (Formerly Euratom)                                    3000000600747 
INDC(FIN)- Finnish report to the I.N.D.C.                  3ZZZIAE3000000600748 
INDC(FR)-  French report to the I.N.D.C.                   3ZZZIAE3000000600749 
INDC(GDR)- Germ.Dem.Rep.report to the I.N.D.C.             3ZZZIAE3000000600750X
INDC(GER)- Fed.Rep.Germ.report to the I.N.D.C.             3ZZZIAE3000000600751 
            Distribution code (L or LN) is mandatory for          3000000600752 
            INCD(GER)-35 and 36.                                  3000000600753 
INDC(HUN)- Hungarian report to the I.N.D.C.                3ZZZIAE3000000600754 
INDC(IND)- Indian report to the I.N.D.C.                   3ZZZIAE3000000600755 
INDC(IRN)- Iran report to the I.N.D.C.                     3ZZZIAE3000000600756 
INDC(IRQ)- Iraq report to the I.N.D.C.                     3ZZZIAE3000000600757 
INDC(ISL)- Israel report to the I.N.D.C.                   3ZZZIAE3000000600758 
INDC(ITY)- Italian report to the I.N.D.C.                  3ZZZIAE3000000600759 
INDC(JAP)- Japanese report to the I.N.D.C.                 3ZZZIAE3000000600760X
